Site	truth	ReDD
chr1-1316830	0.17	0.8571428571428571
chr1-1316869	0.04	0.5714285714285714
chr1-1316955	0.03	0.5714285714285714
chr1-1316969	0.11	0.16666666666666666
chr1-1316999	0.02	0.0
chr1-1317018	0.05	0.0
chr1-1317048	0.02	0.0
chr1-1317052	0.02	0.0
chr1-1317068	0.04	0.2857142857142857
chr1-1317118	0.04	0.375
chr1-1317135	0.02	0.75
chr1-1317226	0.04	0.0
chr1-1317229	0.04	0.0
chr1-1317274	0.11	0.6666666666666666
chr1-1317340	0.11	0.0
chr1-1663536	0.02	0.0
chr1-1663538	0.2	0.45454545454545453
chr1-1663543	0.01	0.09090909090909091
chr1-1663547	0.01	0.2727272727272727
chr1-1663560	0.03	0.36363636363636365
chr1-1663567	0.34	0.36363636363636365
chr1-1663568	0.04	0.45454545454545453
chr1-1663582	0.03	0.7272727272727273
chr1-1663586	0.07	0.0
chr1-1663592	0.07	0.09090909090909091
chr1-1663595	0.01	0.45454545454545453
chr1-1663608	0.02	1.0
chr1-1663609	0.1	1.0
chr1-1663635	0.11	0.18181818181818182
chr1-1663638	0.05	0.0
chr1-1663640	0.02	0.0
chr1-1663741	0.01	0.1111111111111111
chr1-3812587	0.02	0.0
chr1-3812653	0.23	0.8181818181818182
chr1-3812658	0.03	0.09090909090909091
chr1-3812675	0.04	0.36363636363636365
chr1-3812728	0.03	0.5454545454545454
chr1-3812740	0.04	0.09090909090909091
chr1-3812777	0.04	0.09090909090909091
chr1-3812814	0.16	0.18181818181818182
chr1-6222155	0.05	0.0
chr1-6222162	0.08	0.0784313725490196
chr1-6222164	0.46	0.35294117647058826
chr1-6222177	0.14	0.0
chr1-6222241	0.32	0.08163265306122448
chr1-6222255	0.15	0.8431372549019608
chr1-6222264	0.42	0.0
chr1-6222301	0.04	0.6875
chr1-6222311	0.09	0.8958333333333334
chr1-6222323	0.2	0.14583333333333334
chr1-6222341	0.21	0.06666666666666667
chr1-6222366	0.02	0.17777777777777778
chr1-6222385	0.01	0.023255813953488372
chr1-6222427	0.01	0.15625
chr1-6223200	0.29	1.0
chr1-6223204	0.06	0.14285714285714285
chr1-6223213	0.05	0.0
chr1-6223232	0.03	0.5714285714285714
chr1-6223240	0.05	0.0
chr1-6223245	0.24	0.7142857142857143
chr1-6223279	0.06	0.0
chr1-6223282	0.22	0.0
chr1-6223287	0.14	0.14285714285714285
chr1-6223288	0.19	0.14285714285714285
chr1-6223291	0.17	0.0
chr1-6223336	0.12	0.2857142857142857
chr1-6223379	0.35	0.5714285714285714
chr1-6223388	0.12	0.2
chr1-6522089	0.03	0.0
chr1-6522101	0.09	0.0
chr1-6522287	0.03	0.0
chr1-6522293	0.06	0.8
chr1-7917801	0.33	0.2
chr1-7917811	0.2	0.2
chr1-7917828	0.24	0.6
chr1-7917863	0.5	0.2
chr1-9101077	0.08	0.0
chr1-9101078	0.21	0.0
chr1-9101133	0.43	1.0
chr1-9101137	0.3	0.0
chr1-9101140	0.6	0.2
chr1-9101144	0.44	0.0
chr1-9101159	0.13	0.4
chr1-9101186	0.53	0.0
chr1-9101235	0.11	0.2
chr1-9101306	0.24	0.0
chr1-9149019	0.18	0.0
chr1-9149087	0.09	0.0
chr1-9149092	0.12	0.16666666666666666
chr1-9149112	0.04	0.0
chr1-9149114	0.04	0.0
chr1-9149136	0.37	0.16666666666666666
chr1-9149153	0.11	0.5
chr1-9149184	0.18	0.6
chr1-9149376	0.54	1.0
chr1-9149390	0.78	1.0
chr1-9149406	0.07	0.2
chr1-9149414	0.49	0.8
chr1-9149419	0.04	0.2
chr1-9149423	0.05	0.0
chr1-9149429	0.08	0.0
chr1-9149432	0.04	0.0
chr1-9149464	0.12	0.0
chr1-9271016	0.05	0.0
chr1-9271035	0.27	0.3333333333333333
chr1-9271143	0.04	0.0
chr1-9271168	0.04	0.16666666666666666
chr1-9927378	0.14	0.0
chr1-9927385	0.04	0.0
chr1-9927390	0.02	0.0
chr1-9927404	0.03	0.2222222222222222
chr1-9927412	0.21	0.1111111111111111
chr1-9927417	0.02	0.0
chr1-9927422	0.14	0.1111111111111111
chr1-9927426	0.22	0.7777777777777778
chr1-9927430	0.04	0.1111111111111111
chr1-9927462	0.04	0.2222222222222222
chr1-9927466	0.08	0.7777777777777778
chr1-9927478	0.06	0.0
chr1-9927479	0.02	0.0
chr1-9927480	0.02	0.0
chr1-9927515	0.05	0.0
chr1-9927518	0.08	0.0
chr1-9927573	0.03	0.0
chr1-9927582	0.04	0.14285714285714285
chr1-9984098	0.06	0.0
chr1-9984122	0.16	0.0
chr1-9984128	0.11	0.0
chr1-9984148	0.3	0.2
chr1-9984151	0.16	0.2
chr1-9984152	0.1	0.0
chr1-9984165	0.12	0.0
chr1-9984177	0.44	0.6
chr1-9984187	0.11	0.6
chr1-9984213	0.18	0.2
chr1-9984214	0.25	0.0
chr1-9984227	0.11	0.0
chr1-9984247	0.23	0.0
chr1-9984252	0.67	0.4
chr1-9984308	0.11	0.2
chr1-9984309	0.3	0.2
chr1-9984321	0.06	0.2
chr1-9984327	0.04	0.2
chr1-10457257	0.09	0.058823529411764705
chr1-10457278	0.03	0.3333333333333333
chr1-10457305	0.04	0.6129032258064516
chr1-10457324	0.01	0.0
chr1-10457326	0.01	0.2
chr1-10457346	0.01	0.41935483870967744
chr1-10457406	0.01	0.0
chr1-10457461	0.01	0.034482758620689655
chr1-10457468	0.11	0.3448275862068966
chr1-10457470	0.51	0.5862068965517241
chr1-10457479	0.02	0.0
chr1-10457481	0.22	0.13793103448275862
chr1-10457493	0.05	0.20689655172413793
chr1-10457501	0.14	0.034482758620689655
chr1-10457510	0.19	0.32142857142857145
chr1-10457538	0.06	0.2962962962962963
chr1-10457554	0.05	0.2962962962962963
chr1-10457566	0.41	0.8461538461538461
chr1-10457571	0.02	0.04
chr1-10457578	0.18	0.125
chr1-10457591	0.03	0.038461538461538464
chr1-10457602	0.25	0.4
chr1-10457615	0.1	0.07692307692307693
chr1-10457616	0.04	0.07692307692307693
chr1-10457632	0.04	0.07692307692307693
